[2018-06-25 23:29:12] default.ERROR 5728 73994d7: Uncaught Exception SmartyException: "Unable to load template file 'ulogin_widget.tpl'" at /home/mmotalks/web/mmotalks.ru/public_html/cms/framework/libs/vendor/Smarty/libs/sysplugins/smarty_internal_templatebase.php line 134 {"exception":"[object] (SmartyException(code: 0): Unable to load template file 'ulogin_widget.tpl' at /home/mmotalks/web/mmotalks.ru/public_html/cms/framework/libs/vendor/Smarty/libs/sysplugins/smarty_internal_templatebase.php:134)"}
[2018-06-25 23:29:18] default.ERROR 1414 027611f: Uncaught Exception SmartyException: "Unable to load template file 'ulogin_widget.tpl'" at /home/mmotalks/web/mmotalks.ru/public_html/cms/framework/libs/vendor/Smarty/libs/sysplugins/smarty_internal_templatebase.php line 134 {"exception":"[object] (SmartyException(code: 0): Unable to load template file 'ulogin_widget.tpl' at /home/mmotalks/web/mmotalks.ru/public_html/cms/framework/libs/vendor/Smarty/libs/sysplugins/smarty_internal_templatebase.php:134)"}
[2018-06-25 23:29:38] default.ERROR 1407 dfd6fd4: Uncaught Exception SmartyException: "Unable to load template file 'ulogin_widget.tpl'" at /home/mmotalks/web/mmotalks.ru/public_html/cms/framework/libs/vendor/Smarty/libs/sysplugins/smarty_internal_templatebase.php line 134 {"exception":"[object] (SmartyException(code: 0): Unable to load template file 'ulogin_widget.tpl' at /home/mmotalks/web/mmotalks.ru/public_html/cms/framework/libs/vendor/Smarty/libs/sysplugins/smarty_internal_templatebase.php:134)"}
[2018-06-25 23:29:39] default.ERROR 1410 38d7d43: Uncaught Exception SmartyException: "Unable to load template file 'ulogin_widget.tpl'" at /home/mmotalks/web/mmotalks.ru/public_html/cms/framework/libs/vendor/Smarty/libs/sysplugins/smarty_internal_templatebase.php line 134 {"exception":"[object] (SmartyException(code: 0): Unable to load template file 'ulogin_widget.tpl' at /home/mmotalks/web/mmotalks.ru/public_html/cms/framework/libs/vendor/Smarty/libs/sysplugins/smarty_internal_templatebase.php:134)"}
[2018-06-26 01:23:09] default.WARNING 5725 b138b23: E_WARNING: Illegal string offset 'value' {"code":2,"message":"Illegal string offset 'value'","file":"/home/mmotalks/web/mmotalks.ru/public_html/cms/application/tmp/templates/compiled/synio/ef840ce3e83bb55701502bfcf61cb5c907221874.file.field.autocomplete.tpl.php","line":228}
[2018-06-28 18:44:39] default.NOTICE 4592 0371304: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:00] default.NOTICE 4592 9022a4d: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:03] default.NOTICE 4592 de1b3a7: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:05] default.NOTICE 4592 7be9207: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:07] default.NOTICE 4592 6314f29: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:09] default.NOTICE 4592 10eee98: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:10] default.NOTICE 4592 ee4d0d2: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:12] default.NOTICE 4592 89978cd: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:14] default.NOTICE 4592 a1a96ae: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:15] default.NOTICE 4592 491e4e0: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:18] default.NOTICE 4592 1363b2d: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:21] default.NOTICE 4592 ae8964e: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:22] default.NOTICE 4592 1082fe7: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:48] default.NOTICE 4592 79ee350: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:48] default.NOTICE 4592 25b221f: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:50] default.NOTICE 4592 014f299: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:54] default.NOTICE 4592 fef15e2: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:45:54] default.NOTICE 4592 630d5af: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:46:34] default.NOTICE 4592 e2bef66: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:46:35] default.NOTICE 4592 9a430c6: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:46:37] default.NOTICE 4592 c192408: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:46:37] default.NOTICE 4592 1e93285: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:46:37] default.WARNING 4592 1e93285: E_WARNING: count(): Parameter must be an array or an object that implements Countable {"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"C:\\xampp\\htdocs\\application\\classes\\modules\\comment\\Comment.class.php","line":428}
[2018-06-28 18:46:38] default.NOTICE 4592 4745f95: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:46:41] default.NOTICE 4592 401c65c: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:46:41] default.NOTICE 4592 6567521: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:47:04] default.NOTICE 4592 059ccca: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
